meter_id,date_time,net_energy,cumulative_energy,net_power
246,01/02/2017 00:00,0,0,0
247,01/02/2017 00:00,4,787865,8
248,01/02/2017 00:00,3,205349,6
249,01/02/2017 00:00,1.4,52007.5,2.8
250,01/02/2017 00:00,0,3215.9,0
251,01/02/2017 00:00,0,0,0
252,01/02/2017 00:00,7,902409,14
253,01/02/2017 00:00,0,0,0
254,01/02/2017 00:00,2,169862,4
255,01/02/2017 00:00,0,6508,0
256,01/02/2017 00:00,0,5352.7,0
706,01/02/2017 00:00,0.5,39312.4,1
707,01/02/2017 00:00,0.1,21882.2,0.2
708,01/02/2017 00:00,0.1,28018,0.2
709,01/02/2017 00:00,0.3,33570.4,0.6
710,01/02/2017 00:00,0.2,41377.3,0.4
711,01/02/2017 00:00,0.1,18977.5,0.2
712,01/02/2017 00:00,0.1,9053.4,0.2
713,01/02/2017 00:00,0,16748.5,0
714,01/02/2017 00:00,0.4,29845.5,0.8
715,01/02/2017 00:00,0,21455.2,0
716,01/02/2017 00:00,0,15289.3,0
717,01/02/2017 00:00,1,108428,2
718,01/02/2017 00:00,0.3,71952.1,0.6
719,01/02/2017 00:00,0.8,92316.5,1.6
720,01/02/2017 00:00,0.1,41361.8,0.2
721,01/02/2017 00:00,0.1,5349.6,0.2
722,01/02/2017 00:00,0.2,25338.9,0.4
723,01/02/2017 00:00,0.1,87721.4,0.2
724,01/02/2017 00:00,0.2,98468.9,0.4
725,01/02/2017 00:00,0.3,33422.1,0.6
726,01/02/2017 00:00,0.5,79476.1,1
727,01/02/2017 00:00,0.3,54597.5,0.6
728,01/02/2017 00:00,0.2,21181.2,0.4
729,01/02/2017 00:00,2,329333,4
730,01/02/2017 00:00,0.2,88308.9,0.4
731,01/02/2017 00:00,0.2,18766,0.4
246,01/02/2017 00:30,0,0,0
247,01/02/2017 00:30,4,787869,8
248,01/02/2017 00:30,2,205351,4
249,01/02/2017 00:30,1.6,52009.1,3.2
250,01/02/2017 00:30,0,3215.9,0
251,01/02/2017 00:30,0,0,0
252,01/02/2017 00:30,8,902417,16
253,01/02/2017 00:30,0,0,0
254,01/02/2017 00:30,1,169863,2
255,01/02/2017 00:30,0,6508,0
256,01/02/2017 00:30,0,5352.7,0
706,01/02/2017 00:30,0.2,39312.6,0.4
707,01/02/2017 00:30,0.1,21882.3,0.2
708,01/02/2017 00:30,0.1,28018.1,0.2
709,01/02/2017 00:30,0.3,33570.7,0.6
710,01/02/2017 00:30,0,41377.3,0
711,01/02/2017 00:30,0,18977.5,0
712,01/02/2017 00:30,0.2,9053.6,0.4
713,01/02/2017 00:30,0,16748.5,0
714,01/02/2017 00:30,0.4,29845.9,0.8
715,01/02/2017 00:30,0,21455.2,0
716,01/02/2017 00:30,0.3,15289.6,0.6
717,01/02/2017 00:30,1,108429,2
718,01/02/2017 00:30,0.3,71952.4,0.6
719,01/02/2017 00:30,0.4,92316.9,0.8
720,01/02/2017 00:30,0,41361.8,0
721,01/02/2017 00:30,0,5349.6,0
722,01/02/2017 00:30,0.1,25339,0.2
723,01/02/2017 00:30,0.1,87721.5,0.2
724,01/02/2017 00:30,0.1,98469,0.2
725,01/02/2017 00:30,0.2,33422.3,0.4
726,01/02/2017 00:30,0.5,79476.6,1
727,01/02/2017 00:30,0.2,54597.7,0.4
728,01/02/2017 00:30,0.1,21181.3,0.2
729,01/02/2017 00:30,2,329335,4
730,01/02/2017 00:30,0.2,88309.1,0.4
731,01/02/2017 00:30,0.2,18766.2,0.4
246,01/02/2017 01:00,0,0,0
247,01/02/2017 01:00,5,787874,10
248,01/02/2017 01:00,3,205354,6
249,01/02/2017 01:00,1.2,52010.3,2.4
250,01/02/2017 01:00,0,3215.9,0
251,01/02/2017 01:00,0,0,0
252,01/02/2017 01:00,9,902426,18
253,01/02/2017 01:00,0,0,0
254,01/02/2017 01:00,1,169864,2
255,01/02/2017 01:00,0.1,6508.1,0.2
256,01/02/2017 01:00,0.1,5352.8,0.2
706,01/02/2017 01:00,0.5,39313.1,1
707,01/02/2017 01:00,0.1,21882.4,0.2
708,01/02/2017 01:00,0,28018.1,0
709,01/02/2017 01:00,0.3,33571,0.6
710,01/02/2017 01:00,0,41377.3,0
711,01/02/2017 01:00,0.2,18977.7,0.4
712,01/02/2017 01:00,0.2,9053.8,0.4
713,01/02/2017 01:00,0.1,16748.6,0.2
714,01/02/2017 01:00,0.4,29846.3,0.8
715,01/02/2017 01:00,0,21455.2,0
716,01/02/2017 01:00,0.1,15289.7,0.2
717,01/02/2017 01:00,1,108430,2
718,01/02/2017 01:00,0.4,71952.8,0.8
719,01/02/2017 01:00,0,92316.9,0
720,01/02/2017 01:00,0.1,41361.9,0.2
721,01/02/2017 01:00,0.1,5349.7,0.2
